username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
;2017-03-04 11:32;0;1;"#ShutDownJNU #ISupportABVP #AntiNationalJNU pic.twitter.com/OdBJ9iwzyT";;;#ShutDownJNU #ISupportABVP #AntiNationalJNU;"837906147403145217";https://twitter.com/NileshVats/status/837906147403145217
;2017-03-04 10:56;1;4;"@LillyMaryPinto @truevirathindu All at Indian Taxpayers's expense. #ShutDownJNU";;@LillyMaryPinto @truevirathindu;#ShutDownJNU;"837896922761416704";https://twitter.com/MaheshHindu/status/837896922761416704
;2017-03-04 02:02;1;2;"#ShutdownJNU https:// twitter.com/rose_k01/statu s/837706153526075393 …";;;#ShutdownJNU;"837762718186762241";https://twitter.com/YSRCrimes/status/837762718186762241
;2017-03-04 01:20;2;2;"#ShutdownJNU https:// twitter.com/RitaG74/status /837691668786778114 …";;;#ShutdownJNU;"837752073605300224";https://twitter.com/YSRCrimes/status/837752073605300224
;2017-03-04 00:20;0;0;"#ShutDownJNU #CleanUpJNU https:// twitter.com/AmiteshK01/sta tus/837736084050079744 …";;;#ShutDownJNU #CleanUpJNU;"837736942578040833";https://twitter.com/laxman_xy/status/837736942578040833
;2017-03-04 00:17;1;0;"My take nothing new, just these things are getting in the limelight since last year... #ShutDownJNU #CleanUpJNU";;;#ShutDownJNU #CleanUpJNU;"837736084050079744";https://twitter.com/AmiteshK01/status/837736084050079744
;2017-03-03 23:34;0;0;"#ShutDownJNU https:// twitter.com/IndianInterest /status/837317721859768326 …";;;#ShutDownJNU;"837725358120128513";https://twitter.com/abhyutthaan/status/837725358120128513
;2017-03-03 23:22;0;0;"And nation has to pay taxes to bring up these low grade people later sure to become anti nationals just #ShutDownJNU @RashtrapatiBhvn https:// twitter.com/RitaG74/status /837691668786778114 …";;@RashtrapatiBhvn;#ShutDownJNU;"837722367501586432";https://twitter.com/IntrntHindu/status/837722367501586432
;2017-03-03 22:14;0;0;"@abhijeetsinger @sudhirchaudhary @sardanarohit @ZeeNewsHindi @Mitalishah121 JNU ME AISA SIKHAYA JATA HE? #SHUTDOWNJNU https:// twitter.com/AnjuNagarajan/ status/837620209682903040 …";;@abhijeetsinger @sudhirchaudhary @sardanarohit @ZeeNewsHindi @Mitalishah121;#SHUTDOWNJNU;"837705186294497280";https://twitter.com/k_khapandi19/status/837705186294497280
;2017-03-03 20:55;0;0;"Why should we pay tax?. To use to JNU Thugs?. #ShutdownJNU #ShutdownJNU #ShutdownJNU #ShutdownJNU #ShutdownJNU #ShutdownJNU #ShutdownJNU";;;#ShutdownJNU #ShutdownJNU #ShutdownJNU #ShutdownJNU #ShutdownJNU #ShutdownJNU #ShutdownJNU;"837685330027347969";https://twitter.com/YSRCrimes/status/837685330027347969
;2017-03-03 20:54;0;0;"#ShutdownJNU #ShutdownJNU #ShutdownJNU #ShutdownJNU #ShutdownJNU #ShutdownJNU #ShutdownJNU #ShutdownJNU @HinduRajyam https:// twitter.com/AnjuNagarajan/ status/837620209682903040 …";;@HinduRajyam;#ShutdownJNU #ShutdownJNU #ShutdownJNU #ShutdownJNU #ShutdownJNU #ShutdownJNU #ShutdownJNU #ShutdownJNU;"837685043824889856";https://twitter.com/YSRCrimes/status/837685043824889856
