source,shared_from,date,text,reactions,likes,ahah,love,wow,sigh,grrr,comments,post_id,url,external_link
Kunal Kamra,,2020-01-15 12:52:24,😭😭😭,20K,7.8K,12K,439,73,31,6,401,1283996425126206,/story.php?story_fbid=1283996425126206&id=370949839764207,
Kunal Kamra,,2020-01-14 18:34:32,*Still Relevant*,68K,50K,505,16K,675,228,13,1036,1283208085205040,/story.php?story_fbid=1283208085205040&id=370949839764207,
Kunal Kamra,,2020-01-14 18:19:54,Full Marx to Kanhaiya for this debate. via Official PeeingHuman,21K,14K,3.9K,1.8K,70,65,49,535,1283195895206259,/story.php?story_fbid=1283195895206259&id=370949839764207,
Kunal Kamra,,2020-01-14 13:19:42,AZAADI / ACHE DIN AB AAYE HAIN | created by Aatish Dabral,23K,17K,279,4.4K,326,59,23,402,1282986338560548,/story.php?story_fbid=1282986338560548&id=370949839764207,
Kunal Kamra,,2020-01-13 18:58:58,*Modiji visiting Meme Bhawan*,25K,9.4K,15K,329,47,8,8,573,1282163041976211,/story.php?story_fbid=1282163041976211&id=370949839764207,
Kunal Kamra,,2020-01-12 17:39:06,Dalla Amish gusse main 😭😭😭 *Re-edited for comedic effect*,34K,9.2K,24K,439,65,69,40,2615,1281043268754855,/story.php?story_fbid=1281043268754855&id=370949839764207,
"Kunal Kamra,Official PeeingHuman",Official PeeingHuman,2020-01-11 15:39:50,Kare to kare kya? Bole to bole kya?What to do? Will you say?Union Minister Babul Supriyo of BJP spreading fake news on national TV. Abhinandan Sekhri of Newslaundry presenting facts & frustration. #Chhapaak #peeingshorts #fakenews #BohotJhoothiParty,7.3K,4K,3K,184,17,13,21,260,1281015802090935,/story.php?story_fbid=1281015802090935&id=370949839764207,
"Kunal Kamra,Official PeeingHuman",Official PeeingHuman,2020-01-11 00:02:36,"It's not left vs right, it's ABVP vs India #ABVPExposedHello Delhi Police, here's some help for you. #JNU #ABVP #peeingshorts",5.9K,5K,462,54,21,247,81,173,1279679315557917,/story.php?story_fbid=1279679315557917&id=370949839764207,
Kunal Kamra,,2020-01-10 23:36:29,,124,117,2,3,2,,,12,2766192170112714,/events/2766192170112714?view=permalink&id=2766192210112710,
Kunal Kamra,,2020-01-10 11:08:38,If not Kejriwal then who?,52K,17K,34K,731,82,72,39,2777,1278558582336657,/story.php?story_fbid=1278558582336657&id=370949839764207,
"Kunal Kamra,Official PeeingHuman",Official PeeingHuman,2020-01-07 20:50:56,Baagad Bagga spreading fake news against peaceful protests at Gateway of India'Hinduo se azadi' slogans raised at Gateway of India protest as per BJP - obviously FAKE NEWS. It is now our responsibility to make sure that Tajinder Pal Singh Bagga sticks to his word and quits both politics & twitter. #BaagadBagga #BJPisRiotWing #jhootbolo,1.4K,1.1K,182,54,5,3,8,111,1276367352555780,/story.php?story_fbid=1276367352555780&id=370949839764207,
Kunal Kamra,,2020-01-07 12:58:57,Touring Australia in February! Tag your friends in Australia before internet gets shut down in your state. Book your seats on Premier Tickets.,2.1K,1.6K,433,119,9,1,3,235,1275210989338083,/story.php?story_fbid=1275210989338083&id=370949839764207,
Kunal Kamra,,2020-01-03 17:16:08,Who did this? 😂😂😂,44K,12K,30K,610,94,24,37,1842,1271048423087673,/story.php?story_fbid=1271048423087673&id=370949839764207,
